volcano_name,country,type,latitude_(dd),longitude_(dd),elevation_(m),continent
Hibok-hibok,Philippines,Stratovolcano,9.2,124.7,1332,Asia
Hierro,Spain,Shield,27.73,-18.03,1500,Europe
Hood,United States,Stratovolcano,45.4,-121.7,3426,North America
Hualalai,United States,Shield,19.69,-155.87,2523,North America
Ibu,Indonesia,Stratovolcano,1.49,127.63,1325,Asia
Ijen,Indonesia,Stratovolcano,-8.06,114.24,2386,Asia
Iliamna,United States,Stratovolcano,60.03,-153.09,3053,North America
Iliboleng,Indonesia,Stratovolcano,-8.34,123.26,1659,Asia
Iliniza,Ecuador,Stratovolcano,-0.66,-78.71,5248,South America
Ilopango,El Salvador,Caldera,13.67,-89.05,450,North America
Ilyinsky,Russia,Stratovolcano,51.49,157.2,1578,Europe
Ioto (Iwo-jima),Japan,Caldera,24.75,141.29,161,Asia
Iraya,Philippines,Stratovolcano,20.47,122.01,1009,Asia
Irazu,Costa Rica,Stratovolcano,9.98,83.85,3431,North America
Isanotski,United States,Stratovolcano,54.77,-163.72,2446,North America
Izalco,El Salvador,Stratovolcano,13.81,-89.63,1950,North America
Iztaccihuatl,Mexico,Stratovolcano,19.18,-98.64,5286,North America
Izu-Tobu,Japan,Pyroclastic cone,34.9,139.1,581,Asia
Jailolo,Indonesia,Stratovolcano,1.08,127.42,1130,Asia
Jefferson,United States,Stratovolcano,44.67,-121.8,3199,North America
Jordan Craters,United States,Volcanic field,43.1,-117.4,1400,North America
Kadovar,Papua New Guinea,Stratovolcano,-3.63,144.63,365,Australia
Kaguyak,United States,Stratovolcano,58.62,-154.06,901,North America
Kahoolawe,United States,Shield,20.55,-156.57,450,North America
Kambalny,Russia,Stratovolcano,51.3,156.87,2156,Europe
Kanaga,United States,Stratovolcano,51.92,-177.17,1307,North America
Karangetang [Api Siau],Indonesia,Stratovolcano,2.78,125.4,1784,Asia
Karisimbi,"Congo, Rwanda",Stratovolcano,-1.51,29.45,4507,Africa
Karthala,Comoros,Shield,-11.75,43.38,2361,Africa
Karymsky,Russia,Stratovolcano,54.05,159.45,1536,Europe
Katla,Iceland,Fissure vent,63.63,-19.05,1512,Europe
Katmai,United States,Stratovolcano,58.28,-154.96,2047,North America
Katwe-Kikorongo,Uganda,Volcanic field,-0.08,29.92,1067,Africa
Kavachi,Solomon Islands,Submarine,-9.02,157.95,-20,Australia
Kell,Russia,Stratovolcano,51.65,157.35,900,Europe
Kelut,Indonesia,Stratovolcano,-7.93,112.31,1731,Asia
Kerinci,Indonesia,Stratovolcano,1.7,101.26,3800,Asia
Khodutka,Russia,Stratovolcano,52.06,157.7,2090,Europe
Kialagvik,United States,Stratovolcano,57.2,-156.75,1677,North America
Kick 'em Jenny,Grenada,Submarine,12.3,-61.64,-185,North America
Kikai,Japan,Caldera,30.79,130.31,704,Asia
Kikhpinych,Russia,Stratovolcano,54.49,160.25,1552,Europe
Kilauea,United States,Shield,19.42,-155.29,1222,North America
Kilimanjaro,Tanzania,Stratovolcano,3.07,37.35,5895,Africa
Kirishima,Japan,Stratovolcano,31.93,130.86,1700,Asia
Kliuchevskoi,Russia,Stratovolcano,56.06,160.64,4835,Europe
Komagatake,Japan,Stratovolcano,42.06,140.68,1131,Asia
Kone,Ethiopia,Caldera,8.8,39.69,1619,Africa
